feature,importance
tool_wear,0.18964109
rotation_speed,0.16714603
torque,0.16603741
air_temp_lag_1,0.057855073
air_temp_roll_mean_3,0.052568693
air_temp_lag_2,0.041338243
air_temp,0.034858722
tool_wear_lag_2,0.031777732
process_temp_lag_2,0.028729744
process_temp_lag_1,0.02767887
rotation_speed_roll_std_3,0.025301369
Type_L,0.023944631
process_temp,0.023913562
rotation_speed_lag_1,0.023841798
Type_M,0.022988206
torque_lag_1,0.022867866
tool_wear_lag_1,0.021448523
torque_lag_2,0.020206599
rotation_speed_lag_2,0.01785579
